作者,user_token,回答,创建时间,赞同数,评论数
知乎用户XeeK5r,shen-yan-bin-46,穷则独善其身，鄙人先骟为敬,2021-06-14 14:07:28,1,0
呵呵哒,hjhy322501,"不会有什么影响，无非引起一阵群嘲而已。
现在问题的关键是米不够，发三个碗又能怎样？",2021-06-12 00:43:44,1,0
隔壁老张,da-xue-hua-ti-jun,有钱的随便生，三胎走起，没钱的就吃个瓜吧！生三胎的有可能重男轻女，有可能钱多没地方花，有可能是无意中标，打掉不舍得呗！,2021-06-11 11:35:12,1,0
账号已禁,zhang-hao-yi-jin,其实这是一个跟绝大多数普通人没啥关系的政策，就像大部分人不会因为放开二孩就去生育二孩一样。我的闺蜜，家里资产上亿，本来就在备孕3胎，可以说这个政策是为她量身定造，省去很多手续上的麻烦。或者是以前小区车库里的夫妻，生了5/6胎孩子了，三孩算什么，生到绝经也不怕。而我这样的普通人，生了一胎已经用尽全力，才能过稍微体面的生活，这个政策对我来说没有丝毫影响。所以你猜是我闺蜜这样的白富美和车库夫妻这样的人多，还是我这样的人多呢？以前我看到过一篇文章，大致意思就是普通人最终都会绝嗣，现代人都是王公贵族起码是有钱人的后代，哪怕现在又沦为底层，祖上也曾阔过。如果说仅仅是一个放开生育的政策出来，而没有育儿成本降低，女性保护政策出台，财富分配制度改革等等这些干货上台的话，对社会有什么影响呢？我想也没什么影响吧，社会又不会灭亡，总有人活着，总有新生命诞生，但是跟普通人又有什么关系呢，我们躺平就好了呀。何必让这世上再多一个可怜人呢？,2021-06-11 08:59:54,1,0
水熔成粥,yimi-yang-guang-87-66,"能培养好一个就生一个，能培养好两个就生两个，能培养好三个就生三个。以此类推。
希望zf能保证合格的教育和就业资源、提供医疗和养老补助。",2021-06-10 12:53:44,1,0
咖啡西诺维乔森,ka-pei-xi-nuo-wei-qiao-sen,给孕期女性所在公司免税待遇，加大生育津贴补贴力度是可以大程度缓解女性就业歧视的。,2021-06-10 11:18:23,1,0
铁砂锅,YukiMargatroid,"普通人的一生
六岁之前：学前教育
六岁：一年级
十二：小升初
十五：中考
十八：高考
二十二：毕业，开始工作
二十五：奋斗三年，月薪五千，借钱首付，还贷三十年
二十七：借钱凑彩礼，终于结良缘
二十八：得子，攒钱准备学前早教
三十四：孩子入学，九年义务，一年学杂五千补习一万，雪上加霜
四十三：中考升高中，学杂费升级，一年一万，补习一年亦一万
四十六：孩子成年，勤工俭学，不问家里要一分，己身力衰心有余
五十：孩子毕业，开始工作，己身年衰，高龄下岗，零工碎挣，聊以厘毫
五十三：几年攒出一点，与子付了首付，老年小区不光彩，迎娶儿媳要新房
五十五：终于熬完三十年，又贷一笔凑彩礼
五十六：亲孙落地蹒跚步，半个甲子一轮回
六十五：一生劳苦终需报，碎银难补碎玉身
七十五：独步尘寰终离世，回首往事幸无疾。芸芸碌碌何所道，一抔清白同山阿。
《孩子，我宁愿欠你一个快乐的少年，也不愿看到你卑微的成年》
后来有人突然奇想，就接了下去：
《少年，我宁愿欠你一个后浪的成年，也不愿看到你悲惨的中年》
《后生，我宁愿欠你一个体面的中年，也不愿看到你凄惨的老年》
《先生，我宁愿欠你一个安稳的老年，也不愿看到你无助的晚年》
《逝者，我宁愿欠你一个盛大的葬礼，也不愿看到你下一代输在起跑线上》
所有的合起来，不就是：
《孩子，我宁愿你从未来过，也不愿你有个悲惨的一生。》
我做了很多角色，唯独没有做过自己
转（很多人口嗨的总结，非原创）",2021-06-10 01:03:14,1,0
快乐柠檬,kuai-le-ning-meng-2,大家都站在自己角度来谈论这个问题。我来站在大家长角度说一句：除了开放三胎，还有啥其他措施可以被执行呢？,2021-06-09 16:19:25,1,0
孕产体训师单sir,ya-ran-25,"谢谢邀请两次的真爱刀刀~
可能我每天都接触孕产阶段妈妈，大部分是这她们的声音吧。
群里妈妈发过这个截图
部分生产队可能真的有点怒吧。
不过准备二娃的菇凉会比较冷静，说国家也很难啊。
遛弯的时候，看到已经怀着四娃的一个妈妈，前边三个都是女娃，我说那你这比国家政策还早了一个啊。。好吧这可能还跟三胎政策以外的其他层面有关。


作为孕产体训师，我为更多女性着想吧，希望政策可以对孕产康复这块儿的市场做出一些福利调整，免去在鱼龙混珠的市场做选择，花天价却把自己康复坏了。",2021-06-09 09:46:36,1,0
一地金,yi-di-jin-90-30,"警惕人口政策不断放开下，滋生权利血缘交替的土壤。
警惕资本家家族膨胀，警惕中国出现新的士族家庭。人民也许没有钱生两个三个，但资本家，官僚阶级势必会趁此机会推动四胎，五胎以至于彻底放开。他们生十个二十个，用他们手中的权利将I子女分布在各个单位，会出现国中国。
因此，三胎就是底线。后面再放开应该慎重考虑。",2021-06-08 08:51:25,1,0
Erin,erin-24-84,"女性最佳生育年龄是25到35岁。
如果一个公司招一位刚毕业的女大学生（23岁），在接下去十年中，她很有可能生3个孩子，每次怀孕16个月带薪假，总共48个月。（而且在该员工休产假和哺乳假期间，公司还得另外招聘人接替她的工作。）也就是说，招一个女员工，付10年工资，换6年实际工作产出。
请问，你是资本家，你招男员工还是女员工？",2021-06-08 07:44:35,1,0
匿名用户,,"A；我不想生，代价太大，养不起。
B；你可以生三个。
A；……
C；我家有钱/权，这下好了，有人继承了，孩子对我是越多越好呀，红旗不能生，可以让彩旗生的转正嘛。
B；几十年后的问题都解决了，我真厉害！",2021-06-08 04:23:03,1,0
热爱兔子的人,re-ai-tu-zi-de-ren,个人一点浅显的看法，你看看城里的房子，多是80-120平，就是160平也就四室二厅，夫妻、老人、两个孩子，还要间书房，挤得满满当当，要全民三胎，首先要全民住的起200+的大平层才行，或者像发达国家那样，除了市中心，二环线以外全民别墅。土地（房屋）是繁衍生息的必要条件，要可持续发展，又不愿意向女性支付育儿酬劳，那么免费供地，保障养老是社会责任。,2021-06-07 20:25:21,1,1
瑾言,ma-wen-12-53,"看了好多答案，很多说结果是中产指望不上了，顶上的人又太少，即使生也增加不了多少，只能指望底层的了。
底层是指农村吧，应该肯定是的，但我想说，可能也指望不上。
老家农村，现在户口也是农村，在二线城市打工，身边很多一起出来的朋友连婚都没结，更别说生孩子了，跟他们聊这个话题，回答是只想谈谈恋爱，结婚生子什么的再说吧，不现实。",2021-06-07 18:27:48,1,0
球儿,qiu-er-66-6,"啥时候放开三爹三妈政策啊，
咱房子都买不起了。",2021-06-07 08:25:54,1,0
匿名用户,,"以下是无脑观点
不看国家角度就个人而言，我会选择优生或者不生，对于我这种普通家庭而言，家里存款加起来都不会超过十万，上面两个父母三个老人，前几年的二胎政策又莫名其妙多了个妹妹，父亲50左右了，妹妹才4岁不到，再过十年我都不知道我要怎么办，我只能这么说，有钱人生的多，他也有能力给他的孩子一个良好的教育能力，穷越生，我只能说培养出来好孩子的几率比富人少的多，不是鄙视穷人和高升富人，而是现实就是如此，普通家庭的父母有多少是能随时陪着孩子的，早上走的比孩子早回来孩子已经睡觉了，没准还要为了节假日的那点加班费索性就不回家过节了，而且三胎对我而言对女性是百害无一利，工作不还找，当家庭主妇孩子难管不说还要面对有些无脑丈夫的谩骂与诉苦，换谁谁好受（天价彩礼的除外）
说实话如果让我来选的话我会选择不生，其实我连婚都不想结，20左右的人也没谈过恋爱，现在就想着养好父母就行了，我也希望我父母不要再落实三胎政策了",2021-06-07 07:46:09,1,0
箜调kt,kong-diao-kt,"先说一句普遍共识
一个社会，应该有比较合理的人口结构，毕竟人有年迈力衰之时，需要他人赡养。
本质就是年轻人养老年人，更具体的说，是当时的年轻人养老年人。因为物资跨十年为单位的时间存储非常不现实，实现了成本也吃不消。
然后再说点个人观点：推动良好的人口结构，需要花钱，毋庸置疑。钱一定要普惠性的花，更合理的是，全面鼓励二胎，这是主力，这样才会有更多的家庭，而不是很多很大的家庭。然后让三胎和一胎的数量匀一匀，保持住2.1的人口更替数量。
这会比把重心放到铺开很多三胎的家庭好一些。因为能生三胎的一般都不差钱，而很多人不是不想生，只是生了一个后心有余而力不足，这才是真正应该鼓励的对象。需要的配套也要跟上。",2021-06-06 19:21:03,1,0
小四,xiao-si-22-53,"哦
（来自因为这个问题回答被关小黑屋三天的感受）",2021-06-05 16:28:16,1,0
命由心生,ming-you-xin-sheng-36,"当今社会，即便未来五十年内，我国需要的不是增加人口，而是人口素质。
1.我国还有很多失业无业人员，有许多在业人员也是在消遣时间。
2.在过去20年里，我国飞速发展，而人口素质，个人综合素质确没有质的提升。
3.征途漫漫，唯有奋斗。纵观城市街头，有多少人在为生活跌沛流离，有心思再去征途？
4.比如自媒体时代说的很高大尚，有多少人在这波洪流中迷失自我，崇尚直播。社会风气不正，增加人口只会增加社会负担。",2021-06-05 14:00:33,1,0
匿名用户,,"一定要慎重再慎重考虑
先说说自己吧，家里三个孩子，父母离异，父亲酗酒，家庭暴力，抚养费死活不给，全靠母亲工作。生活在一个三线小城市，过着一线城市的消费生活，还有直逼二线城市的房价。
我妈当时因为有了老三生个儿子，他的态度就会转变。可惜我妈高估了他的人性，今年我也才刚高一，因为身体原因休学一年。现在在家分配是这样的，我暂时负责我弟我妹日常生活饮食起居，我妈去外地工作。
今年还赶上老二的小升初，全是我自己一手操办，找学校，了解今年升学局势，再到报名。一个初入叛逆期，一个正是皮的时候。包括我自己的学业以及发展全是自己在操办，真的是又当爹又当妈。而且我也不是成年人，但是我一直在做父母应该做的事儿。但是我不怨我妈，毕竟老话说长子为夫，至于那个所谓的父亲，可有可无。
我理解尊重政策，我说这些只是想让各位要小孩的家长们一定要考虑清楚，你是否有能力承担抚养，你是否还有心气能教育孩子，以及当下局势是否你能负起当父母的责任。
说的稍微不好听一些，没有金刚钻，别揽瓷器活。现在升学压力大，我生活的这座城市房价也是不低，我自己是艺术生，考古筝，想努努力上个音乐学院，找老师上课以及买琴的费用就不用说了，艺术生一直很费钱。今年小升初老二上的是私立学校，准备住宿，零零散散加在一起一年两万五左右，而且不知道初中是否能跟上，如果跟不上还要额外报辅导班。这样仅仅是三线城市的情况，更别说一二线城市的情况了，这种压力之后只有上升的趋势，如果你真的是个好家长你就一定会考虑这些问题，必须要考虑清楚，一是对你自己不负责，二是对孩子也不好。
反正说了这么多，我只想提醒准备生孩子的家长，不管是几胎，一定要考虑好自己能否有能力去迎接孩子，无论是金钱还是教育方面，毕竟孩子都是心头肉，谁都想负责，但问题是你能否担得起这个责。",2021-06-05 01:18:34,1,1
知乎用户1HWP80,ren-jian-ke-12,"大概就是泡泡玛特紧跟时政，女生求职时需要额外提交一张“计划生育表”了。
然而就算你填了人家又能信多少。",2021-06-04 23:32:58,1,0
卧了個蛆,wo-liao-ge-qu-59-72,"难平一躺各贫劳，争奈三胎谕我曹。
熊市穿仓惊绿箭，蜗庐涨贷哭红钞。
胶庠伴读亡垠苦，床第绮思顿刻销。
贪刈畦中鲜韭尽，转头无处用镰刀。








之前回答被删了。估计太水了吧，只有一张图。还封号一天就有点。。。",2021-06-04 19:49:39,1,0
老虎老虎,lao-hu-lao-hu-18,"因为他们知道，20-30年后，打工人就急剧减少，没人为他们，以及他们的子孙服务和纳税。
你以为他们担心老龄化？
你以为他们担心经济下滑？
你以为他们担心我们未来负担太重？
你以为他们担心这个社会变的不好？
你错了，经济再不好，人口再老龄化，他们，以及他们子孙依然是人上人。
他们只是担心没有人给他们打工了，不然总不能他们自己下地干活吧。",2021-06-04 18:14:54,1,0
BonjourQian,dan-dan-de-kui-kui,"某些男性的回答:多生孩子是民族的希望，祖国的未来。
女性:wqnmlgb",2021-06-04 18:04:31,1,1
喃念集,yi-ke-xing-xing-90-81,"三胎生育政策来了
各路网友直击灵魂的窒息拷问霸屏、
如果失业有最低收入保障吗？
新生儿有国家大礼包吗？
从幼儿园到大学的教育都免费吗？
.........
＃三胎生育政策来了
什么样的配套政策会让女性想继续生？
一个女人又是怎么从女本柔弱进阶到三头六臂千军万马的~
图片来于公众号:喃念集


图片来于公众号:喃念集


图片来于公众号:喃念集
一个女人，竟要她活成千军万马。
关注我分享给你更多小看法https://mp.weixin.qq.com/s/KUJA23X2MLPizfqtnNe5YA",2021-06-04 14:40:57,1,0
追不到的那个人,zhui-bu-dao-de-na-ge-ren,这样招人还会考虑女性？？？？,2021-06-04 14:07:09,1,1
Alina情感,alinaqi-qi-zi,感觉压力很大特别是当代女性，感觉有条件生的很少,2021-06-04 12:35:14,1,0
Linda,kang-kang-24-3,这是大事件,2021-06-04 10:40:33,1,0
翁某,weng-mou-12,挺好的，可以实现财富平均，缩小贫富差距，就好像推恩令,2021-06-04 10:10:06,1,0
吃瓜群众,yu-qia-qia-83,"职场生存空间更小，辛辛苦苦念书学技能找不着工作
那能干嘛，整容呗，整容为了什么，为了能找个有钱的男人啊
这个政策下，没有人能全身而退。
反正念书也找不到工作，投资教育不如投资外貌
嫁个有钱人，不管生不生，还是生几个，起码生活舒服吧。
努力工作也是为了赚钱，生活舒服点。
结果都是一样。
有钱的男人本来就少，那不得抢，那婚姻关系全面崩盘呗。
最后，男人不还是为了女人打工，女人就像无骨吸血的菟丝花呗。
对于我来说，教育如果不能变现，那没有任何的存在意义，毕竟我不爱考试。
我只做有用功，让我活下去的有用功。
一切都很光明。",2021-06-04 04:20:04,1,0
绿豆,bing-dou-dou,"两个娃都是我们自己带。娃很小时，老人帮手。
现在开放三胎，我问猪战友，还生吗？
战友马上说，不生了。两个都快累死了。


第一个娃不好带，小时睡觉靠抱，长大又精力旺盛不怎么睡。哄睡一般一小时起步。
因为战友一直要二胎，所以，咬咬牙要了二胎。
无数个熬夜的晚上，战友累到崩溃，问，为什。
但他的劳累程度不及我的一半。
现在我已经习惯一晚睡三四个小时了。
今晚，一点醒来后，就没睡过整觉。
刚喂完奶。
就说，让我来个三胎，我拿什么拼？
真的拿命吗？",2021-06-04 03:56:30,1,0
匿名用户,,"转一篇文章（顺便安利这个公众号）
AER: 三胎政策会有效吗？先得分析男女的受教育程度！| 唧唧堂论文导读
以下为文章原文。
近日，国家的三胎政策一出，和几年前的全面开放二胎政策一样，又一次引发了社会各界的广泛关注和议论。很多人表示，不要说二胎三胎，生育一胎都够呛，强大的经济和生活压力甚至让很多人选择不婚不育。所以，这项政策是否有效或有足够激励来改变这一现状呢？我们来看看一篇发表于美国经济评论的研究，或许会有一些启发。


根据Thomas Baudin, David de la Croix 和Paula E. Gobbi在《美国经济评论（American Economic Review）》上发表的文章《美国的生育率和无子女问题（Fertility and Childlessness in the United States）》推断，中国全面放开二胎三胎的政策，也会提高女性选择不生小孩的比率，其政策有效性可能会因此降低。


在理论上，作者建立了经济学模型，将男人和女人进行随机配对，并考虑决定是否结婚因素，接着，检查双方是否是“自然不育”，并在消费与生育之间做出选择。通过模型推导说明婚姻是有成本和收益的。收益是两个人组合成一个家庭后，共同分摊家庭公共品的支出，形成规模经济，并且极大地降低时间成本。


时间这对于受教育程度高的人来说是极其重要和宝贵的，因为一旦拥有小孩，男人会将部分时间花在养育小孩上。对女人来说，丈夫减轻了养育小孩的时间成本。成本是，对男人而言，太贫穷或者需要丈夫的帮助才能养育小孩的女性是没有吸引力的。比较而言，他们会更愿意去追求受教育程度高的女性，但求婚成功是相当艰难的，因为对教育程度高的女性而言，她们并不需要男性的保护以应对贫穷。


另外，受教育程度高的女性生育和养育小孩的机会成本较高。如果她们没有获得生孩子的激励，一般也会对男性的求婚采取拒绝的态度。


在实证上，作者基于美国1990年以来的数据，发现女性无论是已婚还是单身，受教育程度越高，生育率越低。


女性不要小孩的比率与受教育之间呈U型关系，即表现为先下降后上升的趋势；作者认为这主要是由收入和受教育程度两方面因素引起的。在U型左侧，女性由于受教育程度低而陷入贫穷，缺乏生育所需要的最小商品数量，使她们不得不选择放弃生育，因此不要小孩比率的曲线呈下降的趋势；在U型右侧，女性因受教育程度的提高而获取在劳动力市场上获取较高的收入，而生育和养育小孩需要耗费大量的时间，对她们来说这部分时间的机会成本是极高的，因此不要小孩比率的曲线呈上升的趋势。


而女性结婚率与女性受教育水平之间则表现为“驼峰状”，女性受教育水平在学士时，结婚率最高，超过了90%；受教育程度过低或过高（PHD）结婚率骤减，维持在20%附近。另外，结婚率与男性受教育水平则呈现出递增趋势，即男性的受教育程度越高，结婚率越高。


此外，作者还进行了反事实实验，首先利用美国1871至1964年间数据（1990年以前），对女性生育率与未生育率的变动趋势加以分析；然后考察男性和女性工资不平等以及这一不平等的变化趋势对生育率和不要小孩的比率的影响。结果对上述结论提供了进一步的支撑。


针对这一研究，我们有必要对中国当前实施的“二胎三胎政策”表示疑虑。事实上，二胎三胎政策会在一定程度上加大单身女性求职的难度（企业从雇佣成本考虑），为了维持在劳动力市场的竞争力，她们可能会选择延长婚龄，进而导致结婚率下降，生育率短期内得不到有效提高。


而部分女大学生（包括研究生）会选择延长在校的受教育年限，而根据本文的研究结论，受教育程度提高在一定程度上也意味着她们生育小孩的机会成本的提高。对已婚且没有小孩的女性来说，放弃工作生一个小孩的机会成本也相对较高。


综合而言，二胎三胎政策的有效性还值得学术界去深究。




参考文献：


Thomas Baudin, David de la Croix &Paula E. Gobbi，Fertility and Childlessness in the United States.American Economic Review 2015, 105(6): 1852–882.
http://dx.doi.org/10.1257/aer.20120926",2021-06-05 09:10:50,1,0
懵圈的小法师,da-da-da-35-64,"X胎政策在短短几十年里更新换代若干次 = 个体的感受在宏观需求下很渺小，甚至微不足道
如果可以选择，虽然做女性需要面对生育、教育、收入许多挑战，但做当代男性也很累…hmmm…做人开心就好吧…
love&peace",2021-06-04 19:38:20,1,0
stupidguu,stupidguu,干得漂亮。 离婚冷静期一出，顶多吓退了我等大龄单身女青年，三胎政策一出，这个男的除非是帅的惨绝人寰并且学富五车令我头脑发昏（理论上说符合此条件的也绝对看不上我等凡人），我本来对经济上是没有要求的，这下好了没钱还敢结婚？结婚是不可能了，这辈子都不可能的。生了一个就让你生两个，生了两个就忽悠你生三个，事业不可能有了就在家看孩子吧不是屎就是尿还有嗷嗷叫，等孩子拉扯大了，奶子下垂了身材走形了，哎？与社会脱节了，怎么看你怎么不顺眼，反正我是忍不了，离婚吧，孩子都给你生好了你找个生不出孩子的都行，不是我太悲观是社会太现实人本性太恶了，这辈子当女的好惨。,2021-06-03 23:11:18,1,0
我这个人啊,wo-zhe-ge-ren-a-75,想生的生，不想生的不生,2021-06-03 20:39:32,1,2
烈永周,lin-lan-ze-69,除非是这。。,2021-06-03 20:24:25,1,0
德先生和费小姐,de-xian-sheng-he-fei-xiao-jie-79,"政策挺好的，我表示支持。
所以，你们加油",2021-06-03 17:00:11,1,0
小毫微凉,xiao-hao-wei-liang,最近在找工作，已经深切感觉到了三胎政策对于女性找工作难度的提升了。。,2021-06-03 16:04:45,1,0
Underwood,zenghuanmy,"说点许多人不爱听的大实话。
我怎么看？先放结论。
在个人层面，我欢迎并且支持这一政策。我希望放开三孩能得到财税激励，并且与完善养老三支柱、税制改革、租售同权改革较好衔接。在社会层面，希望宣传口雇几个靠谱的PR公司，让更多人能认识到社会保障体系的运行模式，不要端起碗吃饭，放下碗骂娘。
理由的逻辑也不复杂：
90后的选择其实只有一个：愿意生孩子，才能避免继续延迟退休。
最近一次人口普查的结果来看，我们已经步入老龄化社会。随着生育潮那一代人在2023年左右全部退休，我国的人口抚养比将上升到一个比较高的水平。并且因为部门利益、地方短时的原因，计划生育结束过晚，加上中等收入群体的增加带来的生育意愿逐步下滑，劳动人口将经历一次断崖式下降。
然而，基本养老金是现收现付制。所谓个人账户，懂的都懂，那就是一个数挂在那里，不可能做实。现在的年轻人缴纳的基本养老保险实际上被发给退休人员。如果劳动人口急剧下降，那么为了平衡养老金支出，90后的退休将遥遥无期。
对于配套政策的预期，我在上文中也说到，主要是期待财税政策激励。
上文提到，基本养老金的实质，是代际再分配为主，代内再分配为辅。养老要么靠自己的子女，要么靠别人的子女。生育子女的夫妻，在实质上是为社会作出了贡献，那么应当得到激励；丁克和不婚人士在未来需要别人的子女提供养老支持，所以也要为此付出代价。中产阶层的小九九是“少生优育”，那么我们也需要多措并举，打破他们的幻想。
所以我认为所以下面的措施可能会被提上日程：
宣传。让傻白甜们意识到婚姻是个共同财产制度，结婚和离婚流程便利化。
减税。以家庭为单位报税可以获取更高免税额，进而鼓励婚姻。
减税。生育子女可以获得额外的税收减免，年度免征额随生育个数而递增。
还是减税。夫妻生育的医疗费用、未成年子女医疗费用、教育费用全额抵扣所得税。
补贴。如果需要更强的刺激，还可以推出生育津贴等福利措施。
教育分流关口前移，完善职业教育体系，培育蓝领阶层。",2021-06-03 15:59:13,1,0
Brian,Brian.Zhang,"比起等级低的个体，等级高的个体有更多的机会去繁殖，这种情况不是由于它们为雌性个体所偏爱，就是因为它们以暴力阻止等级低的雄性个体接近雌性个体，社会地位高是表示有权繁殖的另一种票证，因为，个体为社会地位而奋斗，而不是直接去争夺雌性个体，如果最终取得的社会等级不高，它们就接受自己无权生育这个事实，凡直接涉及雌性个体时，它们总是自我克制，但这些个体能不时地试图赢得较高的社会地位，因此可以说是间接地争夺雌性个体，但和涉及领地的行为一样，“自觉接受”这条规定，即只有地位高的雄性个体才能生育，其带来的结果是，种群的成员数字不会增长太快，种群不会先是生育了过多的后代，然后在吃过苦头以后才发现这样做是错误的，它们鼓励正式的竞赛，让其成员去争夺地位和领地，以此作为限制种群规模的手段，以便把种群的规模保持在略低于饥饿本身实际造成死亡的水平之下。
这是《自私的基因》一书中，作者提到的温-爱德华兹关于“种群选择”的一些解释。",2021-06-03 10:33:20,1,0
艾瑞,deng-sheng-hui-98,"这个时间点放出来的这个消息，难道真的有那么重要吗？
二胎和三胎影响真的有那么大么，有钱人和没钱人都不在乎，反而是中产一直在焦虑。
这让我联想到前面一个热点
现在群里还有多少讨论这个的。
我查了下，豆瓣小组已经没了。
这时候放出来这个消息，你细品。",2021-06-03 09:38:49,1,2
大树的孩子,xiang-san-er,不晓得国家开放三胎为什么这么多人黑，是可以生三胎，又不是强迫人生，想生的，该生的，就去生，不想生的，别说三胎了，一胎都不愿意生，大家各生各的娃，不是挺好的么，干什么搞的这么义愤填膺，不懂,2021-06-03 02:29:43,1,1
15112436,15112436,"治标不治本，弊大于利
以前为什么要实行计划生育，就是控制人口数量，提高人口素质。但是，我们国家是一个人口众多，幅员辽阔的国家，有的地方结婚较早，传宗接代传统观念浓厚，但是经济条件却没有那么好，要是都生三个，造成贫困咋办？然而，东北、上海、北京等地方房价狂涨，且年轻人接受外来思想比较多，这些人就是放开十孩都不生，因为买不起房，还不如放弃结婚生子。
与其研究什么放开三胎，还不如考虑一下如何降低房价。不过，提出建议的某些专家是不会考虑这个的。",2021-06-02 21:55:07,1,0
不可以是翡翠哥了,ou-yang-xia-tian-39,个斑马，神也是你，鬼也是你。,2021-06-02 21:35:21,1,0
匿名用户,,肺炎一来，人口老龄化的问题也解决了，日本人美国人都笑死了。我们唯一能做的是多生多育，以后凭借人口优势碾压他们？,2021-06-02 15:30:45,1,1
音乐电台,sun-bao-guo-79-65,"这两天刷朋友圈刷微博，看到的大家都在发三胎政策。这个话题沸沸扬扬，怎么说的都有，爱凑热闹的我，当然也要发一篇文章，切记，下面的内容可能颠覆你的认知，内容可能有一些敏感，随时有可能被系统删掉和谐，同时欢迎大家分享给身边的朋友让大家看一下。






5月31号，为积极应对人口老龄化，中共中央政治局决定进一步优化生育政策，实施一对夫妻可以生育三个子女政策及配套支持措施。
会议上表示，要完善生育休假与生育保险制度，加强税收、住房等支持政策，保持女性就业合法权益。对全面两孩政策调整前的独生子女家庭和农村计划生育双女家庭，要继续实行现行各项奖励扶助制度和优惠政策。要建立健全计划生育特殊家庭全方位帮扶保障制度，完善政府主导、社会组织参与的辅助关怀工作机制，维护好计划生育家庭合法权益。一胎都养不起，三胎…
我身边有好多躺平的大神还有努力奋斗的打工人，我问了大家的看法，收到的回复远远超乎我的预料


而收到的回复基本都是“一胎都生不起，还三胎，搞不搞笑。”好多人，以为这是一个玩笑话，甚至在想结婚生孩子这么平常的事情，多生一个孩子又能的怎么样？ 又不是养不起。
其实现在跟20年前相比，20年前生一个孩子，孩子的待遇生活水平肯定没有现在高，但是那个时候父母还是会生一到两个孩子甚至更多，有好多人冒着超生的风险去生孩子，计划生育的罚款并没有拦住大家生儿育女的热情。但其实大家忽略了很多问题，比如现在的阶级不断地稳固，上升空间闭塞，社会不断的内卷。。。其实最核心的一个问题，就是房价特别高，工资还不涨。简单来说就是生存压力非常大，养不起。
抚养孩子需要多少钱？


为减少制造焦虑，让躺平党不过分绝望，本数据以3线城市为标准，不算一线城市，一线城市的朋友请不要参考本数据，因为一线城市的成本最少两倍以上甚至不止。下面内容打得比较潦草，可能有点乱，读者朋友们将就着看。




孩子成本（一个孩子）


1、生产生育



产检+生产（顺产和剖腹产）+住院
4000+（500+3000）/ 2 + 2000
=7750


2、满月百日生辰



满月+百日+生辰酒席价格

3000x3=9000



3、母婴消耗品


奶粉+纸尿裤+衣服+婴儿车+玩具

奶粉（800g）200x12（一月一罐）
=2400

纸尿裤 一天3片 1元1片 用到3岁

3x1x365x3

=3285

衣服

一年买6件 一件300元 x7

6x300x7

=12600



婴儿车 平均300



玩具 一个月买4次 6年 一个平均30元


4x12x6x30=8640



4、孩子上学


幼儿园 学费500/月 +食堂10元/天
800x10 x3 24000


小学➕初中 书本费300/年 食堂500/月

300+500x10=5300x9=47700


高中 学费800/年 书本费500/年 生活费1000/月
1000x10x3 =30000
1300x3=33000
30000+33000=63000


大学 学费5000/年 书本费 800/年 生活费2000/月

5000+800x4 23200

2000x10x4 80000



5、兴趣班以及补课费用


500x10x12=60000


6、彩礼



10万



7、房子车子



房子首付 20万 车子15万



合计 79万（四舍五入）





孩子成本（三个孩子）



79x3=237万



好多人认为237万已经够多的了，但是实际你看到下面之后你会发现成本远比你得要高的多。


生活成本
按照30年计算


1、房贷



3000/月 x30年

3000x12x30 108万



2、车子


15万



3、柴米油盐



吃饭买菜一个月1500
1500x12x30=54万



4、人情来往



5000x30=15万


5、父母赡养



养老院 5000x10=50000



6、生活娱乐



1000元/x30 36万


7、医疗成本



20000元/年 x30 60万


合计 293万



总计计算


抚养1个孩子最终成本需要 372万

抚养2个孩子最终成本需要 451万
抚养3个孩子最终成本需要 530万


好多朋友，看到这个数据会感到特别震惊，而且这只是三线城市的物价计算得出的结果，看到这，你还有勇气要三胎吗，还是继续躺平呢？











你会要三胎吗？
关注公众号：躺平吧
投票提交你的看法
三胎政策来了，生么？",2021-06-02 15:14:22,1,2
远山,yuan-shan-21-63,一户人家，两条社畜，三名孩童，四位老人，五万房价，六天工作，七张嘴巴，八点开工，九时下班，十分幸福 。,2021-06-02 13:59:11,1,0
小野喵子,butterflyatnight,我想和对象分手。,2021-06-02 13:57:24,1,0
赵百度,zhao-bai-du,"政策确实不错，但是措施要出台好并且落实到位！
最近三孩的话题一直很热，就是因为最近连续几年出生人口大幅下跌了，二孩放开之后出生人口不升继续降是不是值得反思呢？现在的8090后中有多少是愿意结婚的，有多少是愿意生孩子的。
文化观念上:
这两代人最大的特点就是个人自由文化随着中国的改革开放深入到了他们的心里，传宗接代和家族传承在这两代人心中份量太轻了！
生活压力上:
四老三小还有房车贷的压力已经很大了，真的无法承受，不仅是成本，还有精力，996的福报已经把年轻人榨干了，那还有精力生孩子？
主管意愿上:
生活质量的提高使得他们观念上养育质量也随之提高，高质量的养育方式制约着他们生孩子的意愿。
近几年的新名词不少，消费降级，佛系，躺平等都是年轻人无声的抗争啊。
不是年轻人不想生，是社会的方方面面没有给予生孩子的环境啊，倡议国家体会一下现在年轻人的痛苦，通过政策创造生育的社会环境，进而改善我国的人口结构啊。
国家现在面临的困难很多，养老压力，生育压力还有经济压力，总得一个个解决。期待好的政策。",2021-06-02 13:42:25,1,0
刘一一,szlxq,"从商业的角度来讲
开发一个新客户的成本
要远远大于维护一个老客户的成本

所以
不断的让老客户复购
是最直接、快速、高效的获取利润的方法

重点是
老客户也有被薅秃噜皮的时候",2021-06-02 12:01:48,1,0
